x_PS_bead,y_PS_bead,z_PS_bead
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.7406,13.3493,244.552
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.7406,13.3493,244.552
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.5346,243.626
23.6506,13.2987,243.626
23.7406,13.3493,244.552
23.7406,13.3493,244.552
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.6506,13.2987,243.626
23.7406,13.3493,244.552
23.6506,13.2987,243.626
